,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
553,KYSLINGO,Limbo,5VYWq0GGM1L4OF8jBdEEov,64,0.771,0.431,2,-12.331,1,0.354,0.553,0.00197,0.122,0.0593,84.982,85513,4
554,Fuerza Regida,Sigo Chambeando,4PR0r2us3a64lTew6TVlF2,66,0.819,0.48,5,-6.966,1,0.0489,0.685,2.03e-06,0.116,0.759,114.04,200162,3
555,Anuel AA,Amanece,1LiN0Z98FkR1t0m8KmLcAH,73,0.79,0.631,8,-5.549,0,0.0425,0.437,0.0,0.158,0.889,94.039,190005,4
556,Bad Bunny,200 Mph,5jGUJXnELDaDTgiRjD9lsg,69,0.85,0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,170509,4
557,High Altitude Samples,Soft Brown Noise,129ldjjvnFfA7Ygc8ktYnh,68,0.0,0.00148,5,-31.839,1,0.0,0.394,1.0,0.111,0.0,0.0,160003,0
558,J. Cole,1985 - Intro to “The Fall Off”,7EulRO07ZgchxqKUHb8Pvc,64,0.679,0.648,2,-5.892,1,0.445,0.145,0.0,0.182,0.635,94.378,190177,4
559,Joyner Lucas,I Love,30z4LVkScpeNhwHFIB8Ewa,65,0.671,0.565,11,-7.401,0,0.16,0.274,6.51e-05,0.37,0.561,150.014,210197,4
560,CORBAL,Dance with Me,55rn9bs7vZBsEK4Y4URraH,69,0.593,0.275,6,-15.25,0,0.0638,0.816,0.0115,0.108,0.363,114.82,87411,4
561,NEFFEX,Fight Back,6KigD0mlF4VGDYiSEzAyYw,73,0.716,0.946,1,-3.412,1,0.261,0.094,6.63e-05,0.0825,0.587,139.943,200571,4
562,Bazzi,Why,7lozLnUfzcgEpMMVQI7yhA,69,0.676,0.67,8,-6.584,1,0.0374,0.353,0.0,0.103,0.54,113.01,148260,4
563,Bea Miller,S.L.U.T.,6h3lMAmmpQDFqoHk9F99IR,66,0.722,0.773,5,-4.378,0,0.0792,0.0598,0.0,0.179,0.724,94.997,179147,4
564,ScHoolboy Q,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,65,0.768,0.471,2,-8.406,1,0.259,0.0201,0.0,0.268,0.405,131.023,267427,4
565,Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",2bzitsPcImYC6DZWvvLCQi,70,0.634,0.662,6,-7.543,1,0.0325,0.000479,0.00142,0.111,0.244,90.011,210933,4
566,YoungBoy Never Broke Again,TTG (feat. Kevin Gates),28u9JaFwO7GX2YNARkq37P,61,0.874,0.699,1,-3.455,1,0.352,0.0563,0.0,0.0956,0.665,77.502,172138,4
567,Post Malone,Spoil My Night (feat. Swae Lee),5VuxWXbt7XENQCtE9TzpTv,65,0.672,0.717,1,-2.714,1,0.034,0.341,2.4e-05,0.106,0.225,160.981,194560,4
568,Trippie Redd,Shake It Up,6yz0Jndhv0QjKdpcEMbOjz,63,0.776,0.608,10,-6.478,0,0.104,0.128,0.0,0.0932,0.402,156.025,116681,4
569,Cavetown,Fool,7asyVbwQE7IbA3x2be7bdI,65,0.675,0.464,1,-9.277,1,0.151,0.0635,0.073,0.0711,0.129,79.55,233785,4
570,6ix9ine,MALA,4epHhc2lvhFYzMlKA23O3G,76,0.72,0.825,5,-3.627,0,0.0424,0.689,0.0,0.103,0.789,100.008,206550,4
571,Lil Peep,Sex with My Ex,0H1Had94fszD13qsFsP1U5,66,0.497,0.77,6,-4.298,1,0.0757,0.0472,0.0,0.102,0.47,167.892,213640,4
572,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),1nueTG77MzNkJTKQ0ZdGzT,62,0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047,214265,4
573,Kanye West,Yikes,1qsHYUd2c1wFGcn7e63QmG,65,0.683,0.776,1,-3.251,0,0.341,0.15,0.0,0.227,0.223,173.996,188773,4
